outcount,reliable
13,0
4,0
1,0
17,1
9865,1
4416,1
2687,5.7941883946765205e-06
4217,0.0006495782448694638
3,-0.00048218360071861674
2,-0.0001164882157733562
1,5.24512203650605e-06
1,5.24512203650605e-06
0,5.900206249262386e-06
1,5.24512203650605e-06
0,5.496328244268131e-06
1,5.24512203650605e-06
3,5.24512203650605e-06
0,5.573926172623653e-06
0,5.880501678497008e-06
0,5.573926172623653e-06
4,5.24512203650605e-06
0,6.22487500540389e-06
0,1.9013183397120362e-05
4,5.24512203650605e-06
7,5.24512203650605e-06
0,6.22487500540389e-06
0,6.22487500540389e-06
1,5.24512203650605e-06
0,5.573926172623653e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.24512203650605e-06
0,5.573926172623653e-06
0,6.22487500540389e-06
6,5.24512203650605e-06
0,6.0685749119807345e-06
0,5.573926172623653e-06
0,5.1387648156277545e-06
1,5.24512203650605e-06
1,5.24512203650605e-06
0,6.0685749119807345e-06
1,5.24512203650605e-06
1,5.24512203650605e-06
1,5.24512203650605e-06
0,6.0685749119807345e-06
1,5.24512203650605e-06
0,3.685248614995733e-05
0,5.573926172623653e-06
0,5.4709019627008695e-06
0,6.0685749119807345e-06
0,5.24512203650605e-06
0,6.0685749119807345e-06
0,5.573926172623653e-06
0,5.880501678497008e-06
0,5.880501678497008e-06
1,5.24512203650605e-06
4,5.24512203650605e-06
0,5.573926172623653e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,6.0685749119807345e-06
0,4.613542372604432e-06
0,6.0685749119807345e-06
0,6.0685749119807345e-06
0,6.0685749119807345e-06
0,5.880501678497008e-06
0,6.22487500540389e-06
0,5.24512203650605e-06
1,5.24512203650605e-06
1,5.24512203650605e-06
1,5.24512203650605e-06
0,3.5194398737374176e-05
0,1.9013183397120362e-05
0,6.291207044721682e-06
0,6.22487500540389e-06
0,5.24512203650605e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.573926172623653e-06
0,5.24512203650605e-06
0,5.24512203650605e-06
0,6.098976512313117e-06
0,6.22487500540389e-06
0,5.24512203650605e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.573926172623653e-06
0,5.880501678497008e-06
0,5.573926172623653e-06
2,5.24512203650605e-06
0,6.0685749119807345e-06
1,5.24512203650605e-06
0,5.573926172623653e-06
0,5.24512203650605e-06
0,6.0685749119807345e-06
0,1.9013183397120362e-05
0,6.49065832727127e-06
0,6.22487500540389e-06
0,5.880501678497008e-06
0,6.22487500540389e-06
0,6.0685749119807345e-06
0,6.0685749119807345e-06
0,5.880501678497008e-06
0,6.0685749119807345e-06
0,5.880501678497008e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,6.0685749119807345e-06
0,3.685248614995733e-05
0,5.24512203650605e-06
1,5.24512203650605e-06
0,5.573926172623653e-06
0,6.22487500540389e-06
1,5.24512203650605e-06
0,0.00025257524910732613
2,6.108947288873289e-06
0,5.900206249262386e-06
1,5.24512203650605e-06
0,5.880501678497008e-06
1,5.24512203650605e-06
0,6.0685749119807345e-06
2,5.24512203650605e-06
0,4.602598761939572e-06
0,0.00010651702549808739
0,5.24512203650605e-06
0,6.0685749119807345e-06
0,6.22487500540389e-06
0,1.9013183397120362e-05
0,6.22487500540389e-06
0,5.4709019627008695e-06
1,5.24512203650605e-06
0,5.573926172623653e-06
0,5.900206249262386e-06
0,5.24512203650605e-06
0,5.24512203650605e-06
0,6.098976512313117e-06
2,5.24512203650605e-06
0,5.24512203650605e-06
0,5.573926172623653e-06
0,5.573926172623653e-06
0,6.0685749119807345e-06
3,5.24512203650605e-06
0,1.9013183397120362e-05
1,5.24512203650605e-06
0,5.880501678497008e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.5108742051101824e-06
2,5.24512203650605e-06
0,4.526515333746552e-06
0,6.22487500540389e-06
0,1.9013183397120362e-05
1,5.24512203650605e-06
0,5.24512203650605e-06
