outcount,reliable
13,0
4,0
1,0
17,1
9865,1
4416,1
2687,3.578015767065168e-06
4217,0.0006447298785814782
3,-0.0004840156500769309
2,-0.00011765563218534869
1,5.24512203650605e-06
1,5.24512203650605e-06
0,5.264678124854393e-06
1,5.24512203650605e-06
0,5.259419916033935e-06
1,5.24512203650605e-06
3,5.24512203650605e-06
0,5.244960977771407e-06
0,5.245120626404586e-06
0,5.244960977771407e-06
4,5.24512203650605e-06
0,5.24512203650605e-06
0,1.8166329194278382e-05
4,5.24512203650605e-06
7,5.24512203650605e-06
0,5.24512203650605e-06
0,5.24512203650605e-06
1,5.24512203650605e-06
0,5.244960977771407e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.24512203650605e-06
0,5.244960977771407e-06
0,5.24512203650605e-06
6,5.24512203650605e-06
0,5.221720709138755e-06
0,5.244960977771407e-06
0,5.0740196337983705e-06
1,5.24512203650605e-06
1,5.24512203650605e-06
0,5.221720709138755e-06
1,5.24512203650605e-06
1,5.24512203650605e-06
1,5.24512203650605e-06
0,5.221720709138755e-06
1,5.24512203650605e-06
0,3.6005631947115356e-05
0,5.244960977771407e-06
0,5.179986414890585e-06
0,5.221720709138755e-06
0,5.24512203650605e-06
0,5.221720709138755e-06
0,5.244960977771407e-06
0,5.245120626404586e-06
0,5.245120626404586e-06
1,5.24512203650605e-06
4,5.24512203650605e-06
0,5.244960977771407e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.221720709138755e-06
0,5.267617647599747e-06
0,5.221720709138755e-06
0,5.221720709138755e-06
0,5.221720709138755e-06
0,5.245120626404586e-06
0,5.24512203650605e-06
0,5.24512203650605e-06
1,5.24512203650605e-06
1,5.24512203650605e-06
1,5.24512203650605e-06
0,3.421464576847634e-05
0,1.8166329194278382e-05
0,5.276093294249083e-06
0,5.24512203650605e-06
0,5.24512203650605e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.244960977771407e-06
0,5.24512203650605e-06
0,5.24512203650605e-06
0,5.2315593713812285e-06
0,5.24512203650605e-06
0,5.24512203650605e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.244960977771407e-06
0,5.245120626404586e-06
0,5.244960977771407e-06
2,5.24512203650605e-06
0,5.221720709138755e-06
1,5.24512203650605e-06
0,5.244960977771407e-06
0,5.24512203650605e-06
0,5.221720709138755e-06
0,1.8166329194278382e-05
0,4.7137078734051294e-06
0,5.24512203650605e-06
0,5.245120626404586e-06
0,5.24512203650605e-06
0,5.221720709138755e-06
0,5.221720709138755e-06
0,5.245120626404586e-06
0,5.221720709138755e-06
0,5.245120626404586e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.221720709138755e-06
0,3.6005631947115356e-05
0,5.24512203650605e-06
1,5.24512203650605e-06
0,5.244960977771407e-06
0,5.24512203650605e-06
1,5.24512203650605e-06
0,0.0002517283949044841
2,5.2408829588625255e-06
0,5.264678124854393e-06
1,5.24512203650605e-06
0,5.245120626404586e-06
1,5.24512203650605e-06
0,5.221720709138755e-06
2,5.24512203650605e-06
0,5.245797036535535e-06
0,0.0001056701712952454
0,5.24512203650605e-06
0,5.221720709138755e-06
0,5.24512203650605e-06
0,1.8166329194278382e-05
0,5.24512203650605e-06
0,5.179986414890585e-06
1,5.24512203650605e-06
0,5.244960977771407e-06
0,5.264678124854393e-06
0,5.24512203650605e-06
0,5.24512203650605e-06
0,5.2315593713812285e-06
2,5.24512203650605e-06
0,5.24512203650605e-06
0,5.244960977771407e-06
0,5.244960977771407e-06
0,5.221720709138755e-06
3,5.24512203650605e-06
0,1.8166329194278382e-05
1,5.24512203650605e-06
0,5.245120626404586e-06
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.257304775065979e-06
2,5.24512203650605e-06
0,5.245624135759696e-06
0,5.24512203650605e-06
0,1.8166329194278382e-05
1,5.24512203650605e-06
0,5.24512203650605e-06
0,5.221720709138755e-06
